"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G42996AA","N-linked","Subsumption","G21793RV","Core-fucosylated","Subsumption","G21793RV"
"G42996AA","N-linked","Subsumption","G21793RV","Complex","Subsumption","G21793RV"
"G65668CK","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G65668CK","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G65668CK","N-linked","GlycoMotif","GGM.001023","Hybrid","GlycoMotif","GGM.001003"
"G84222WV","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G98270SB","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G99956MJ","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G99956MJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G59804RR","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G46127DK","O-linked","Subsumption","G07025FE","Core 1","Subsumption","G07025FE"
"G11411KB","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G48330KH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G05270TA","Glycosphingolipid","GlycoMotif","GGM.001108","Ganglio series","GlycoMotif","GGM.001108"
"G15730FJ","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G15730FJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G76036GS","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G97763ON","N-linked","Subsumption","G01208GZ","Bisected","Subsumption","G01208GZ"
"G97763ON","N-linked","Subsumption","G01208GZ","Complex","Subsumption","G01208GZ"
