"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G76100HQ","O-linked","Subsumption","G07078LK","Core 1","Subsumption","G07078LK"
"G22196LK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G27946NT","N-linked","GlycoMotif","GGM.001001","","",""
"G71280GW","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G67583XR","O-linked","Subsumption","G10031LH","Core 2","Subsumption","G10031LH"
"G91636VS","N-linked","Subsumption","G00826SV","Bisected","Subsumption","G00826SV"
"G91636VS","N-linked","Subsumption","G00826SV","Core-fucosylated","Subsumption","G00025YC"
"G91636VS","N-linked","Subsumption","G00826SV","Truncated","Subsumption","G66554NB"
"G91636VS","N-linked","Subsumption","G00826SV","Complex","Subsumption","G00025YC"
"G91636VS","N-linked","Subsumption","G00826SV","Hybrid","Subsumption","G01755WL"
"G91636VS","Glycosphingolipid","Subsumption","G58941UN","Neo-lacto series","Subsumption","G47446VC"
"G91636VS","Glycosphingolipid","Subsumption","G58941UN","Lacto series","Subsumption","G58941UN"
"G79026TT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G79026TT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G33734YD","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G30001EY","Glycosphingolipid","Subsumption","G29966WK","Ganglio series","Subsumption","G29966WK"
"G48472LJ","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G64828QT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G64828QT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G96934US","O-linked","Subsumption","G08465VN","Core 1","Subsumption","G08465VN"
"G09173AD","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G59345UT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G59345UT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G89621BX","N-linked","Subsumption","G02173JB","Truncated","Subsumption","G02173JB"
"G24634JN","N-linked","Subsumption","G03984TW","Bisected","Subsumption","G03984TW"
"G24634JN","N-linked","Subsumption","G03984TW","Core-fucosylated","Subsumption","G03089XS"
"G24634JN","N-linked","Subsumption","G03984TW","Complex","Subsumption","G03089XS"
"G17218WW","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G59456VR","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G59456VR","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G23193VZ","N-linked","Subsumption","G08027ZQ","Core-fucosylated","Subsumption","G08027ZQ"
"G23193VZ","N-linked","Subsumption","G08027ZQ","Complex","Subsumption","G08027ZQ"
"G12417OE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G76504RH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G39632CM","Glycosphingolipid","Subsumption","G04676YO","Neo-lacto series","Subsumption","G12611ZS"
"G39632CM","Glycosphingolipid","Subsumption","G04676YO","Lacto series","Subsumption","G04676YO"
"G70321JY","Glycosphingolipid","Subsumption","G31651JD","Neo-lacto series","Subsumption","G01200BW"
"G70321JY","Glycosphingolipid","Subsumption","G31651JD","Lacto series","Subsumption","G31651JD"
"G58251ZG","N-linked","GlycoMotif","GGM.001001","","",""
"G55786MG","N-linked","GlycoMotif","GGM.001002","High mannose","GlycoMotif","GGM.001002"
"G24823MG","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G24823MG","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G18574CV","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G17593CN","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G99580PT","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G47870LR","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G47870LR","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G62707LQ","N-linked","Subsumption","G11771HD","Hybrid","Subsumption","G11771HD"
"G64458EC","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G72011DH","N-linked","GlycoMotif","GGM.001004","Bisected","Subsumption","G10733HY"
"G72011DH","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G72011DH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G29288DT","N-linked","GlycoMotif","GGM.001002","High mannose","GlycoMotif","GGM.001002"
"G60837AI","N-linked","GlycoMotif","GGM.001001","","",""
"G79365EN","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G79365EN","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G13091NP","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G13091NP","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G96919WB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G25953KD","O-linked","GlycoMotif","GGM.001010","Core 3","GlycoMotif","GGM.001010"
"G57522BR","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G25451PN","N-linked","Subsumption","G07226DF","Bisected","Subsumption","G07226DF"
"G25451PN","N-linked","Subsumption","G07226DF","Core-fucosylated","Subsumption","G04561MG"
"G25451PN","N-linked","Subsumption","G07226DF","Complex","Subsumption","G03136UJ"
"G25451PN","O-linked","Subsumption","G65481GA","Core 1","Subsumption","G65481GA"
"G10440YK","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G31544HA","N-linked","Subsumption","G04248AK","Bisected","Subsumption","G04248AK"
"G31544HA","N-linked","Subsumption","G04248AK","Core-fucosylated","Subsumption","G00691NS"
"G31544HA","N-linked","Subsumption","G04248AK","Complex","Subsumption","G00691NS"
"G81536GE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G47270FQ","Glycosphingolipid","Subsumption","G66375ZI","Gala series","Subsumption","G66375ZI"
"G47270FQ","Glycosphingolipid","Subsumption","G66375ZI","Neo-lacto series","Subsumption","G00070MO"
"G47270FQ","Glycosphingolipid","Subsumption","G66375ZI","Lacto series","Subsumption","G00049MO"
"G22244UZ","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G22244UZ","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G16437LH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G88757PX","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G88757PX","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G88757PX","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G75972ZC","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G68044QW","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G96643WB","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G84852GW","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G78308MA","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G78308MA","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G87573HF","N-linked","Subsumption","G53691UV","Truncated","Subsumption","G58039WO"
"G87573HF","N-linked","Subsumption","G53691UV","Paucimannose","Subsumption","G53691UV"
"G87573HF","O-linked","Subsumption","G56946CM","Core 2","Subsumption","G22594FG"
"G87573HF","O-linked","Subsumption","G56946CM","Core 1","Subsumption","G56946CM"
"G04263GM","N-linked","Subsumption","G17483QF","Bisected","Subsumption","G17483QF"
"G04263GM","N-linked","Subsumption","G17483QF","Hybrid","Subsumption","G00029MO"
"G33755SK","N-linked","GlycoMotif","GGM.001001","","",""
"G80207ET","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G09182TI","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G75660JH","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G75660JH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G71922QL","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G20100CF","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G20100CF","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G48059CD","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G51103QO","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G49358BI","O-linked","Subsumption","G07443RM","Core 4","Subsumption","G01243KR"
"G49358BI","O-linked","Subsumption","G07443RM","Core 2","Subsumption","G07443RM"
"G27110FB","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G27110FB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G80542LG","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G79852UE","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G79852UE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G26274XD","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G26274XD","N-linked","GlycoMotif","GGM.001023","Hybrid","GlycoMotif","GGM.001003"
"G60233QP","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G27004VA","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G27004VA","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G72725FT","N-linked","Subsumption","G04078TP","Bisected","Subsumption","G04078TP"
"G72725FT","N-linked","Subsumption","G04078TP","Core-fucosylated","Subsumption","G04078TP"
"G72725FT","N-linked","Subsumption","G04078TP","Complex","Subsumption","G04078TP"
"G73489OC","N-linked","Subsumption","G06772YH","Bisected","Subsumption","G06772YH"
"G73489OC","N-linked","Subsumption","G06772YH","Hybrid","Subsumption","G06772YH"
"G44207BG","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G44207BG","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G44207BG","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G36878RU","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G85100QD","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G26295XE","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G75258NZ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G63078AB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G29729DB","O-linked","GlycoMotif","GGM.001010","Core 3","GlycoMotif","GGM.001010"
"G23258AA","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G23258AA","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G23258AA","N-linked","GlycoMotif","GGM.001023","Hybrid","GlycoMotif","GGM.001003"
"G95513KP","N-linked","GlycoMotif","GGM.001002","High mannose","GlycoMotif","GGM.001002"
"G83257QY","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G83257QY","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G91227PM","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G09442VX","O-linked","Subsumption","G11466SI","Core 6","Subsumption","G11466SI"
"G09442VX","O-linked","Subsumption","G11466SI","Core 3","Subsumption","G11466SI"
"G03203II","N-linked","GlycoMotif","GGM.001001","","",""
"G56339QG","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G89102AG","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G93692RJ","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G01791PK","N-linked","GlycoMotif","GGM.001024","Bisected","Subsumption","G95901MC"
"G01791PK","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G43869EE","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G43869EE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G58489WT","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G90974OV","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G01087FD","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G01087FD","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G01087FD","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G58209EN","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G01361JC","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G01361JC","N-linked","GlycoMotif","GGM.001023","Hybrid","GlycoMotif","GGM.001003"
"G27817KG","O-linked","GlycoMotif","GGM.001006","Core 1","GlycoMotif","GGM.001006"
"G43159UR","Glycosphingolipid","Subsumption","G04013LC","Ganglio series","Subsumption","G04013LC"
"G59999BN","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G03842KQ","N-linked","Subsumption","G14289ZX","Core-fucosylated","Subsumption","G14289ZX"
"G03842KQ","N-linked","Subsumption","G14289ZX","Hybrid","Subsumption","G14289ZX"
"G93774WA","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G31736JO","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G31736JO","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G31736JN","N-linked","Subsumption","G06022DR","Core-fucosylated","Subsumption","G06022DR"
"G10223RO","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G74484ON","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G83829JQ","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G00800WJ","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G00800WJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G13024PC","O-linked","Subsumption","G61778ST","Core 6","Subsumption","G61778ST"
"G13024PC","O-linked","Subsumption","G61778ST","Core 3","Subsumption","G61778ST"
"G51057KO","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G51057KO","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G32977ZV","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G32977ZV","N-linked","GlycoMotif","GGM.001023","Hybrid","GlycoMotif","GGM.001003"
"G23280PX","N-linked","Subsumption","G00361YF","Bisected","Subsumption","G00361YF"
"G23280PX","N-linked","Subsumption","G00361YF","Complex","Subsumption","G00279YF"
"G23280PX","O-linked","Subsumption","G22058OT","Core 6","Subsumption","G22058OT"
"G23280PX","O-linked","Subsumption","G22058OT","Core 3","Subsumption","G22058OT"
"G99770NO","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G99770NO","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G99770NO","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G46108VA","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G46108VA","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G46108VA","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G05951JM","N-linked","GlycoMotif","GGM.001024","Bisected","Subsumption","G01923XE"
"G05951JM","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G05951JM","N-linked","GlycoMotif","GGM.001024","Complex","Subsumption","G01923XE"
"G01385UC","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G01385UC","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G01385UC","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G30128LJ","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G30128LJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G94600JO","N-linked","GlycoMotif","GGM.001001","","",""
"G19626TP","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G19626TP","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G86732WC","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G70507DZ","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G15355KC","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G15355KC","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G04078TP","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G04078TP","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G04078TP","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G79761XY","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G06635WE","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G06635WE","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G08275UE","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G17920GO","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G89999GG","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G54384CK","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G54384CK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G07489GQ","N-linked","Subsumption","G08174NQ","Bisected","Subsumption","G08174NQ"
"G07489GQ","N-linked","Subsumption","G08174NQ","Core-fucosylated","Subsumption","G09940PW"
"G07489GQ","N-linked","Subsumption","G08174NQ","Complex","Subsumption","G27112FS"
"G07489GQ","N-linked","Subsumption","G08174NQ","Hybrid","Subsumption","G08174NQ"
"G70590VH","O-linked","GlycoMotif","GGM.001011","Core 4","GlycoMotif","GGM.001011"
"G55070AA","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G55070AA","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G62801YJ","Glycosphingolipid","GlycoMotif","GGM.001109","Globo series","GlycoMotif","GGM.001109"
"G82955GG","N-linked","Subsumption","G03984TW","Bisected","Subsumption","G03984TW"
"G82955GG","N-linked","Subsumption","G03984TW","Core-fucosylated","Subsumption","G03984TW"
"G82955GG","N-linked","Subsumption","G03984TW","Complex","Subsumption","G03984TW"
"G25835MT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G13058JI","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G94371ES","O-linked","GlycoMotif","GGM.001012","Core 4","GlycoMotif","GGM.001012"
"G27170NH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G24668UI","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G27388WO","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G27388WO","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G22572EH","N-linked","Subsumption","G97570UX","Bisected","Subsumption","G97570UX"
"G22572EH","N-linked","Subsumption","G97570UX","Core-fucosylated","Subsumption","G00706QN"
"G22572EH","O-linked","Subsumption","G10705PR","Core 6","Subsumption","G81702BT"
"G22572EH","O-linked","Subsumption","G10705PR","Core 3","Subsumption","G81702BT"
"G22572EH","O-linked","Subsumption","G10705PR","Core 2","Subsumption","G06415PN"
"G22572EH","O-linked","Subsumption","G10705PR","Core 1","Subsumption","G10705PR"
"G68639CF","O-linked","GlycoMotif","GGM.001019","O-mannose","GlycoMotif","GGM.001019"
"G49313FU","O-linked","GlycoMotif","GGM.001013","Core 7","GlycoMotif","GGM.001017"
"G49313FU","O-linked","GlycoMotif","GGM.001013","Core 5","GlycoMotif","GGM.001013"
"G35247EJ","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G35247EJ","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G46449AK","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G67913LB","N-linked","GlycoMotif","GGM.001024","Core-fucosylated","GlycoMotif","GGM.001024"
"G67913LB","N-linked","GlycoMotif","GGM.001024","Complex","Subsumption","G18960KY"
"G61707PW","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G61707PW","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G91827TX","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G91827TX","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G91827TX","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G35560JL","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G35560JL","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G64162JC","N-linked","Subsumption","G11460AB","Core-fucosylated","Subsumption","G11460AB"
"G64162JC","Glycosphingolipid","Subsumption","G12224AP","Gala series","Subsumption","G12224AP"
"G64162JC","Glycosphingolipid","Subsumption","G12224AP","Neo-lacto series","Subsumption","G61686OO"
"G64162JC","Glycosphingolipid","Subsumption","G12224AP","Lacto series","Subsumption","G13040AD"
"G64162JC","Glycosphingolipid","Subsumption","G12224AP","Ganglio series","Subsumption","G46120KJ"
"G64162JC","O-linked","Subsumption","G17280PS","Core 6","Subsumption","G00288RP"
"G64162JC","O-linked","Subsumption","G17280PS","Core 2","Subsumption","G17280PS"
"G75631GF","O-linked","Subsumption","G46823CW","Core 6","Subsumption","G71913HX"
"G75631GF","O-linked","Subsumption","G46823CW","Core 3","Subsumption","G46823CW"
"G57089NP","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G57089NP","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G36359GN","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G99932KY","O-linked","Subsumption","G01450RG","Core 6","Subsumption","G03877AD"
"G99932KY","O-linked","Subsumption","G01450RG","Core 3","Subsumption","G00924FH"
"G99932KY","O-linked","Subsumption","G01450RG","Core 2","Subsumption","G01453BU"
"G99932KY","O-linked","Subsumption","G01450RG","Core 1","Subsumption","G01450RG"
"G83719UD","O-linked","GlycoMotif","GGM.001005","Core 1","GlycoMotif","GGM.001005"
"G06817XP","N-linked","GlycoMotif","GGM.001022","Truncated","GlycoMotif","GGM.001022"
"G38291RB","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G38291RB","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G30478GF","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G79878OX","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G88891KO","N-linked","Subsumption","G04987NY","Core-fucosylated","Subsumption","G04987NY"
"G01342FO","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G01342FO","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G45941OK","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G13610SN","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G77703ZT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G77703ZT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G56529CD","O-linked","GlycoMotif","GGM.001012","Core 4","GlycoMotif","GGM.001012"
"G45825FL","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G67691PG","N-linked","GlycoMotif","GGM.001023","Bisected","GlycoMotif","GGM.001023"
"G67691PG","N-linked","GlycoMotif","GGM.001023","Core-fucosylated","GlycoMotif","GGM.001024"
"G67691PG","N-linked","GlycoMotif","GGM.001023","Complex","GlycoMotif","GGM.001004"
"G08548AD","N-linked","Subsumption","G12464SH","Hybrid","Subsumption","G12464SH"
"G84822FG","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G20578GS","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G27561GS","O-linked","Subsumption","G50705JT","Core 1","Subsumption","G50705JT"
"G24181ZL","Glycosphingolipid","GlycoMotif","GGM.001106","Neo-lacto series","GlycoMotif","GGM.001107"
"G24181ZL","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G13214IU","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
"G07097VH","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G07097VH","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G84822FH","O-linked","Subsumption","G01657UH","Core 1","Subsumption","G01657UH"
"G57254KI","N-linked","Subsumption","G11745DB","Complex","Subsumption","G11745DB"
"G24366RG","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
